ADM1/1ºSEM2017-TÉCNICO
CAMISETAS
;G;
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

LOG1/1ºSEM2017
CAMISETAS
;PP;
;P;1
;M;3
;G;1
;GG;2
;EX-G;
BABYLOOK
;PP;
;P;1
;M;2
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

LOG2/1ºSEM2017
CAMISETAS
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

LOG3/1ºSEM2017
CAMISETAS
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

LOGÍSTICA
CAMISETAS
;PP;
;P;8
;M;18
;G;11
;GG;4
;EX-G;2
BABYLOOK
;PP;
;P;
;M;4
;G;3
;GG;3
;EX-G;
REGATA
;PP;
;P;
;M;
;G;1
;GG;1
;EX-G;

MARKETING I
CAMISETAS
;PP;2
;P;12
;M;11
;G;4
;GG;2
;EX-G;2
BABYLOOK
;PP;
;P;2
;M;13
;G;10
;GG;7
;EX-G;
REGATA
;PP;
;P;1
;M;5
;G;
;GG;
;EX-G;

MKT1/2017-ETIM
CAMISETAS
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;
;G;1
;GG;1
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

MV3/1ºSEM2017-TÉCNICO
CAMISETAS
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

MV3/2017-ETIM
CAMISETAS
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
BABYLOOK
;PP;1
;P;5
;M;
;G;
;GG;2
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

SEGURANÇA DO TRABALHO
CAMISETAS
;PP;
;P;
;M;11
;G;6
;GG;6
;EX-G;
BABYLOOK
;PP;
;P;1
;M;2
;G;7
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

ST1/1ºSEM2017
CAMISETAS
;PP;
;P;6
;M;3
;G;5
;GG;
;EX-G;1
BABYLOOK
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;1
;GG;
;EX-G;

ST2/2ºSEM2017
CAMISETAS
;PP;1
;P;
;M;1
;G;
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

ST3/2ºSEM2017
CAMISETAS
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

TTI1/1ºSEM2017
CAMISETAS
;PP;
;P;
;M;1
;G;1
;GG;
;EX-G;3
BABYLOOK
;PP;
;P;1
;M;
;G;5
;GG;1
;EX-G;
REGATA
;PP;
;P;
;M;1
;G;
;GG;
;EX-G;

TTI3/1ºSEM2017
CAMISETAS
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
BABYLOOK
;PP;
;P;
;M;
;G;
;GG;
;EX-G;
REGATA
;PP;
;P;
;M;
;G;
;GG;
;EX-G;

